country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019,continent
India,0.595,541.25,41.0,30.0,19.0,83.0,44.0,79.0,100.0,74.0,Asia
China,0.7,444.55,23.0,6.0,70.0,86.0,44.0,78.0,29.0,80.0,Asia
United States,0.823,456.31,51.0,25.0,75.0,81.0,24.0,68.0,36.0,21.0,Americas
Indonesia,0.7,442.1,37.0,3.0,30.0,66.0,54.0,74.0,86.0,51.0,Asia
Pakistan,0.481,,,,,,,,,,Asia
Nigeria,0.465,,,,,,,,,,Africa
Brazil,0.63,624.28,96.0,49.0,44.0,82.0,30.0,76.0,78.0,25.0,Americas
Bangladesh,0.593,,,,,,,,,,Asia
Russia,0.752,592.71,69.0,77.0,40.0,47.0,50.0,73.0,49.0,41.0,Europe
Ethiopia,0.521,,,,,,,,,,Africa
Mexico,0.551,576.05,89.0,49.0,88.0,31.0,15.0,74.0,65.0,26.0,Americas
Japan,0.866,366.2,47.0,3.0,70.0,34.0,37.0,82.0,20.0,23.0,Asia
Egypt,0.645,546.91,71.0,7.0,26.0,58.0,65.0,94.0,86.0,64.0,Africa
Philippines,0.612,408.23,55.0,25.0,30.0,32.0,31.0,50.0,81.0,23.0,Asia
DR Congo,0.384,,,,,,,,,,Africa
Vietnam,0.707,449.65,63.0,5.0,11.0,76.0,37.0,72.0,58.0,59.0,Asia
Iran,0.557,553.11,69.0,11.0,26.0,59.0,85.0,100.0,88.0,34.0,Asia
Turkey,0.665,521.83,72.0,18.0,26.0,84.0,41.0,90.0,60.0,41.0,Asia
Germany,0.871,335.1,41.0,12.0,40.0,49.0,39.0,53.0,14.0,33.0,Europe
Thailand,0.764,533.22,45.0,13.0,30.0,98.0,41.0,73.0,75.0,100.0,Asia
United Kingdom,0.86,296.85,31.0,10.0,40.0,64.0,15.0,55.0,22.0,20.0,Europe
Tanzania,0.652,,,,,,,,,,Africa
France,0.864,309.92,40.0,12.0,52.0,58.0,17.0,53.0,16.0,11.0,Europe
South Africa,0.688,771.82,100.0,100.0,100.0,56.0,28.0,59.0,74.0,56.0,Africa
Italy,0.827,323.19,59.0,5.0,29.0,42.0,22.0,74.0,17.0,11.0,Europe
Kenya,0.511,,,,,,,,,,Africa
Myanmar,0.451,,,,,,,,,,Asia
Colombia,0.582,,,,,,,,,,Americas
South Korea,0.848,366.98,51.0,8.0,70.0,31.0,20.0,84.0,12.0,31.0,Asia
Sudan,0.46,,,,,,,,,,Africa
Uganda,0.544,,,,,,,,,,Africa
Spain,0.859,212.04,24.0,5.0,17.0,29.0,15.0,61.0,15.0,16.0,Europe
Algeria,0.622,,,,,,,,,,Africa
Iraq,0.424,,,,,,,,,,Asia
Argentina,0.768,494.11,92.0,19.0,34.0,73.0,26.0,64.0,68.0,7.0,Americas
Afghanistan,0.286,,,,,,,,,,Asia
Yemen,0.287,,,,,,,,,,Asia
Canada,0.885,290.83,35.0,9.0,75.0,14.0,31.0,55.0,18.0,10.0,Americas
Poland,0.859,291.23,53.0,4.0,11.0,29.0,30.0,65.0,25.0,16.0,Europe
Morocco,0.637,542.75,59.0,6.0,26.0,100.0,46.0,96.0,92.0,52.0,Africa
Angola,0.598,,,,,,,,,,Africa
Ukraine,0.626,453.61,81.0,27.0,6.0,29.0,41.0,71.0,54.0,36.0,Europe
Uzbekistan,0.674,,,,,,,,,,Asia
Malaysia,0.738,527.64,72.0,8.0,30.0,66.0,69.0,79.0,55.0,69.0,Asia
Mozambique,0.58,,,,,,,,,,Africa
Ghana,0.651,,,,,,,,,,Africa
Peru,0.717,,,,,,,,,,Americas
Saudi Arabia,0.737,524.36,56.0,13.0,30.0,60.0,100.0,100.0,45.0,52.0,Asia
Madagascar,0.505,,,,,,,,,,Africa
Ivory Coast,0.573,,,,,,,,,,Africa
Nepal,0.644,,,,,,,,,,Asia
Cameroon,0.466,,,,,,,,,,Africa
Venezuela,0.628,,,,,,,,,,Americas
Niger,0.442,,,,,,,,,,Africa
Australia,0.902,370.1,57.0,7.0,95.0,38.0,17.0,65.0,21.0,7.0,Oceania
Syria,0.407,,,,,,,,,,Asia
Mali,0.481,,,,,,,,,,Africa
Burkina Faso,0.481,,,,,,,,,,Africa
Taiwan,0.818,,,,,,,,,,Asia
Sri Lanka,0.743,,,,,,,,,,Asia
Malawi,0.521,,,,,,,,,,Africa
Zambia,0.556,,,,,,,,,,Africa
Kazakhstan,0.729,,,,,,,,,,Asia
Chad,0.462,,,,,,,,,,Africa
Chile,0.736,487.96,81.0,11.0,34.0,79.0,39.0,71.0,61.0,20.0,Americas
Romania,0.8,,,,,,,,,,Europe
Somalia,0.417,,,,,,,,,,Africa
Senegal,0.619,,,,,,,,,,Africa
Guatemala,0.569,,,,,,,,,,Americas
Netherlands,0.908,302.81,32.0,4.0,69.0,56.0,20.0,63.0,8.0,15.0,Europe
Ecuador,0.655,,,,,,,,,,Americas
Cambodia,0.645,485.73,65.0,6.0,23.0,47.0,30.0,78.0,90.0,75.0,Asia
Zimbabwe,0.604,,,,,,,,,,Africa
Guinea,0.539,,,,,,,,,,Africa
Benin,0.566,,,,,,,,,,Africa
Rwanda,0.663,,,,,,,,,,Africa
Burundi,0.394,,,,,,,,,,Africa
Bolivia,0.696,,,,,,,,,,Americas
Tunisia,0.669,468.26,63.0,11.0,26.0,45.0,59.0,84.0,57.0,49.0,Africa
South Sudan,0.388,,,,,,,,,,Africa
Haiti,0.431,,,,,,,,,,Americas
Belgium,0.902,372.88,63.0,16.0,46.0,53.0,26.0,63.0,9.0,20.0,Europe
Jordan,0.679,,,,,,,,,,Asia
Dominican Republic,0.666,551.32,89.0,35.0,59.0,50.0,28.0,73.0,86.0,7.0,Americas
United Arab Emirates,0.868,450.66,51.0,13.0,26.0,30.0,87.0,84.0,44.0,52.0,Asia
Honduras,0.61,,,,,,,,,,Americas
Czech Republic,0.884,325.33,47.0,7.0,23.0,47.0,30.0,75.0,24.0,20.0,
Sweden,0.926,326.42,44.0,7.0,69.0,62.0,22.0,44.0,8.0,20.0,Europe
Tajikistan,0.69,,,,,,,,,,Asia
Papua New Guinea,0.487,,,,,,,,,,Oceania
Portugal,0.877,277.58,47.0,10.0,6.0,42.0,17.0,64.0,17.0,20.0,Europe
Azerbaijan,0.667,,,,,,,,,,Asia
Greece,0.766,337.8,71.0,5.0,6.0,42.0,22.0,74.0,23.0,20.0,Europe
Hungary,0.835,375.89,57.0,18.0,17.0,47.0,19.0,79.0,49.0,15.0,Europe
Togo,0.595,,,,,,,,,,Africa
Israel,0.703,,,,,,,,,,Asia
